סמל ישוב,סמל קלפי,בוחרים,מצביעים,פסולים,כשרים,שם ישוב,אמת,ב,ג,ד,ו,ז,זך,זנ,ט,יש,כן,ל,ם,מחל,מרצ,נ,נץ,עם,ף,פה,צ,צף,ק,קך,קנ,קץ,רק,שס
9100,530,525,348,2,346,נהריה,56,10,0,0,0,0,0,2,0,77,8,19,16,124,8,1,1,0,0,1,0,0,0,1,4,0,1,17
9100,540,504,355,8,347,נהריה,55,15,2,0,0,0,0,1,0,69,7,9,10,139,8,0,4,1,0,0,0,0,0,0,7,0,1,19
9100,550,540,350,2,348,נהריה,92,5,2,0,1,0,0,0,0,75,11,10,5,102,28,1,1,0,0,0,0,0,0,0,9,0,1,5
9100,560,711,450,6,444,נהריה,72,14,1,0,2,0,0,1,0,73,7,38,8,190,14,0,2,0,0,1,0,0,0,0,2,0,0,19
9100,570,638,418,5,413,נהריה,71,6,0,0,0,0,0,0,1,77,9,23,11,154,27,1,6,0,0,0,0,0,0,0,6,0,1,20
9100,580,606,389,7,382,נהריה,65,10,2,1,0,1,0,1,0,76,11,19,15,146,15,0,0,0,0,0,0,0,0,0,5,1,0,14
9100,590,598,370,5,365,נהריה,83,6,0,0,0,0,0,0,0,52,4,13,7,140,16,0,9,0,0,0,0,0,0,0,7,0,2,26
9100,600,720,484,8,476,נהריה,99,18,0,0,1,0,0,0,0,93,6,14,8,193,14,2,4,0,0,0,0,0,1,0,7,0,1,15
9100,610,637,403,13,390,נהריה,49,3,0,8,4,1,0,1,0,85,9,39,9,145,14,2,4,0,0,1,0,0,0,0,2,0,0,14
9100,620,772,539,10,529,נהריה,94,8,3,0,2,0,0,0,0,115,9,32,17,190,18,2,3,0,0,0,0,0,1,0,6,0,0,29
9100,630,744,500,3,497,נהריה,51,7,1,0,0,0,0,2,0,125,3,17,12,222,9,3,2,0,0,0,0,0,0,0,9,0,4,30
9100,640,556,327,7,320,נהריה,30,6,2,1,1,0,0,0,1,48,12,48,8,120,8,1,3,0,0,0,0,0,0,0,4,0,1,26
9100,650,694,489,5,484,נהריה,89,14,3,0,0,1,0,0,0,88,2,14,8,222,21,0,0,0,0,0,0,0,0,0,6,0,1,15
9100,660,732,551,6,545,נהריה,101,20,0,0,0,0,0,0,0,124,2,9,11,223,26,1,2,0,0,0,0,0,0,0,10,0,1,15
9100,670,546,373,5,368,נהריה,37,8,1,0,3,0,0,1,0,38,0,26,10,206,9,0,2,0,0,0,0,0,1,0,5,0,2,19
9100,700,681,468,6,462,נהריה,64,17,0,0,0,1,0,1,1,86,17,27,12,188,16,0,3,0,0,0,0,0,0,0,5,0,1,23
9100,730,767,489,10,479,נהריה,86,14,5,0,0,0,0,0,0,96,17,42,6,158,16,0,6,0,0,2,0,0,0,0,8,0,4,19
9100,740,556,331,1,330,נהריה,41,8,1,0,1,0,0,0,0,79,16,22,8,121,7,0,3,0,0,0,0,0,0,0,3,0,4,16
9100,9900,110,5,1,4,נהריה,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9200,10,613,346,4,342,בית שאן,15,13,7,1,0,0,0,2,0,7,0,21,23,168,5,0,3,0,0,0,0,0,0,0,3,0,1,73
9200,20,768,472,7,465,בית שאן,23,17,8,0,0,0,0,4,0,24,3,14,29,183,11,1,10,0,0,0,0,0,0,0,6,0,0,132
9200,30,572,388,4,384,בית שאן,13,19,8,0,0,0,0,0,0,3,2,3,33,153,1,0,11,1,0,0,0,0,0,0,3,0,0,134
9200,40,778,465,3,462,בית שאן,11,38,21,0,0,0,0,3,0,6,2,15,20,210,3,1,1,0,0,1,2,0,0,0,6,0,0,122
9200,50,792,498,1,497,בית שאן,36,39,22,0,0,0,0,8,0,20,0,24,15,183,6,1,5,0,0,0,0,0,0,0,4,0,0,134
9200,60,761,477,11,466,בית שאן,39,29,7,0,0,0,0,3,0,11,0,14,31,196,5,1,7,0,0,0,0,0,0,0,7,0,0,116
9200,70,806,554,4,550,בית שאן,31,57,16,0,0,0,0,1,0,12,3,19,32,252,3,1,3,0,0,0,0,0,0,0,17,0,0,103
9200,90,702,437,7,430,בית שאן,22,21,15,0,0,0,0,1,0,3,8,9,25,164,5,0,3,2,0,1,1,0,1,0,6,1,2,140
9200,100,634,400,4,396,בית שאן,13,27,17,0,0,0,0,2,0,2,5,19,8,177,2,0,2,0,0,0,0,0,0,2,3,0,0,117
9200,120,692,387,7,380,בית שאן,15,14,10,0,0,0,0,0,0,20,11,30,14,137,0,0,3,0,0,0,0,0,0,0,7,0,0,119
9200,130,575,376,3,373,בית שאן,29,34,4,0,0,0,0,1,0,23,0,16,12,218,4,0,2,0,0,0,0,1,0,0,3,0,1,25
9200,140,572,340,9,331,בית שאן,15,20,1,0,0,0,0,2,0,14,2,31,35,132,3,0,9,1,0,0,0,0,0,0,5,0,1,60
9200,150,771,507,5,502,בית שאן,23,50,4,0,1,0,0,3,0,28,2,17,16,263,5,1,4,0,0,0,0,0,0,0,2,0,1,82
9200,170,663,391,8,383,בית שאן,13,54,26,0,0,0,0,1,0,7,0,3,16,130,5,0,6,0,0,0,0,0,0,0,3,0,0,119
9200,180,671,399,11,388,בית שאן,19,12,1,1,1,0,0,1,0,9,12,36,13,171,2,0,5,0,0,0,0,1,0,2,8,0,2,92
9200,190,633,415,13,402,בית שאן,8,17,6,0,0,0,0,3,0,7,13,12,19,179,2,2,3,0,0,0,0,0,0,0,4,0,3,124
9200,200,507,315,8,307,בית שאן,1,6,7,0,0,0,0,0,0,13,10,24,17,115,5,3,0,0,0,0,0,0,0,0,1,0,1,104
